l,t,freq,S21
1.1,0.3,11.6,-0.579186153
1.1,0.3,11.7,-0.58767255
1.1,0.3,11.8,-0.596195063
1.1,0.3,11.9,-0.604752524
1.1,0.3,12,-0.613343757
1.1,0.3,12.1,-0.621967583
1.1,0.3,12.2,-0.630622826
1.1,0.3,12.3,-0.639308319
1.1,0.3,12.4,-0.648022907
1.1,0.3,12.5,-0.656765457
1.1,0.3,12.6,-0.665534859
1.1,0.3,12.7,-0.674330042
1.1,0.3,12.8,-0.68314997
1.1,0.3,12.9,-0.691993659
1.1,0.3,13,-0.700860177
1.1,0.3,13.1,-0.709748656
1.1,0.3,13.2,-0.718658301
1.1,0.3,13.3,-0.727588392
1.1,0.3,13.4,-0.736538297
1.1,0.3,13.5,-0.745507479
1.1,0.3,13.6,-0.754495503
1.1,0.3,13.7,-0.763502043
1.1,0.3,13.8,-0.772526892
1.1,0.3,13.9,-0.781569968
1.1,0.3,14,-0.790631322
1.1,0.3,14.1,-0.799711142
1.1,0.3,14.2,-0.808809765
1.1,0.3,14.3,-0.817927678
1.1,0.3,14.4,-0.827065529
1.1,0.3,14.5,-0.836224124
1.1,0.3,14.6,-0.845404442
1.1,0.3,14.7,-0.854607631
1.1,0.3,14.8,-0.863835014
1.1,0.3,14.9,-0.873088094
1.1,0.3,15,-0.882368552
1.1,0.3,15.1,-0.891678251
1.1,0.3,15.2,-0.901019233
1.1,0.3,15.3,-0.910393723
1.1,0.3,15.4,-0.919804124
1.1,0.3,15.5,-0.929253015
1.1,0.3,15.6,-0.938743148
1.1,0.3,15.7,-0.948277445
1.1,0.3,15.8,-0.957858991
1.1,0.3,15.9,-0.967491026
1.1,0.3,16,-0.977176942
1.1,0.4,2,-0.029937655
1.1,0.4,2.1,-0.032319474
1.1,0.4,2.2,-0.034773399
1.1,0.4,2.3,-0.037300364
1.1,0.4,2.4,-0.039901244
1.1,0.4,2.5,-0.042576832
1.1,0.4,2.6,-0.045327821
1.1,0.4,2.7,-0.048154803
1.1,0.4,2.8,-0.051058259
1.1,0.4,2.9,-0.05403857
1.1,0.4,3,-0.057096016
1.1,0.4,3.1,-0.060230781
1.1,0.4,3.2,-0.063442965
1.1,0.4,3.3,-0.066732588
1.1,0.4,3.4,-0.070099597
1.1,0.4,3.5,-0.073543874
1.1,0.4,3.6,-0.077065243
1.1,0.4,3.7,-0.080663476
1.1,0.4,3.8,-0.084338302
1.1,0.4,3.9,-0.088089408
1.1,0.4,4,-0.091916446
1.1,0.4,4.1,-0.095819041
1.1,0.4,4.2,-0.09979679
1.1,0.4,4.3,-0.103849271
1.1,0.4,4.4,-0.107976042
1.1,0.4,4.5,-0.112176647
1.1,0.4,4.6,-0.116450619
1.1,0.4,4.7,-0.120797482
1.1,0.4,4.8,-0.125216752
1.1,0.4,4.9,-0.129707942
1.1,0.4,5,-0.134270559
1.1,0.4,5.1,-0.138904111
1.1,0.4,5.2,-0.143608107
1.1,0.4,5.3,-0.148382055
1.1,0.4,5.4,-0.153225467
1.1,0.4,5.5,-0.158137857
1.1,0.4,5.6,-0.163118746
1.1,0.4,5.7,-0.168167656
1.1,0.4,5.8,-0.173284119
1.1,0.4,5.9,-0.178467671
1.1,0.4,6,-0.183717854
1.1,0.4,6.1,-0.189034218
1.1,0.4,6.2,-0.194416321
1.1,0.4,6.3,-0.199863729
1.1,0.4,6.4,-0.205376013
1.1,0.4,6.5,-0.210952756
1.1,0.4,6.6,-0.216593545
1.1,0.4,6.7,-0.22229798
1.1,0.4,6.8,-0.228065664
1.1,0.4,6.9,-0.233896213
1.1,0.4,7,-0.239789246
1.1,0.4,7.1,-0.245744393
1.1,0.4,7.2,-0.251761292
1.1,0.4,7.3,-0.257839585
1.1,0.4,7.4,-0.263978924
1.1,0.4,7.5,-0.270178965
1.1,0.4,7.6,-0.276439373
1.1,0.4,7.7,-0.282759813
1.1,0.4,7.8,-0.289139961
1.1,0.4,7.9,-0.295579491
1.1,0.4,8,-0.302078084
1.1,0.4,8.1,-0.308635422
1.1,0.4,8.2,-0.315251187
1.1,0.4,8.3,-0.321925061
1.1,0.4,8.4,-0.328656727
1.1,0.4,8.5,-0.335445862
1.1,0.4,8.6,-0.342292143
1.1,0.4,8.7,-0.349195238
1.1,0.4,8.8,-0.35615481
1.1,0.4,8.9,-0.363170513
1.1,0.4,9,-0.370241991
1.1,0.4,9.1,-0.377368875
1.1,0.4,9.2,-0.384550783
1.1,0.4,9.3,-0.391787318
1.1,0.4,9.4,-0.399078062
1.1,0.4,9.5,-0.406422582
1.1,0.4,9.6,-0.41382042
1.1,0.4,9.7,-0.421271095
1.1,0.4,9.8,-0.428774103
1.1,0.4,9.9,-0.436328909
1.1,0.4,10,-0.443934951
